2025-11-12 01:41:17 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"102978.23","breakEvenPrice":"103281.162104","markPrice":"102806.40000000","unRealizedProfit":"-1.71830000","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1028.06400000","isolatedWallet":"0","updateTime":1762891875746,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:18 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891879742, 'recvWindow': 5000}
2025-11-12 01:41:19 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"102978.23","breakEvenPrice":"103281.162104","markPrice":"102845.10000000","unRealizedProfit":"-1.33130000","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1028.45100000","isolatedWallet":"0","updateTime":1762891875746,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:20 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891881140, 'recvWindow': 5000}
2025-11-12 01:41:20 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"102978.23","breakEvenPrice":"103281.162104","markPrice":"102857.60000000","unRealizedProfit":"-1.20630000","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1028.57600000","isolatedWallet":"0","updateTime":1762891875746,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:20 | INFO | BinanceREST | GET /fapi/v1/exchangeInfo params={'symbol': 'BTCUSDT'}
2025-11-12 01:41:21 | INFO | BinanceREST | RESP 200 {"timezone":"UTC","serverTime":1762853964020,"futuresType":"U_MARGINED","rateLimits":[{"rateLimitType":"REQUEST_WEIGHT","interval":"MINUTE","intervalNum":1,"limit":6000},{"rateLimitType":"ORDERS","interval":"MINUTE","intervalNum":1,"limit":1200},{"rateLimitType":"ORDERS","interval":"SECOND","intervalNum":10,"limit":300}],"exchangeFilters":[],"assets":[{"asset":"USDT","marginAvailable":true,"autoAssetExchange":"-100"},{"asset":"BTC","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"BNB","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"ETH","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"USDC","marginAvailable":true,"autoAssetExchange":"-0.10000000"},{"asset":"FDUSD","marginAvailable":true,"autoAssetExchange":"0"},{"asset":"BNFCR","marginAvailable":true,"autoAssetExchange":"-5000"},{"asset":"BFUSD","marginAvailable":true,"autoAssetExchange":"0"},{"asset":"PIPPIN","marginAvailable":true,"autoAssetExchange":"0"}],"symbols":[{"symbol"
2025-11-12 01:41:21 | INFO | BinanceREST | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1762891881911, 'recvWindow': 5000} json=None
2025-11-12 01:41:21 | INFO | BinanceREST | RESP 200 {"orderId":9494726679,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"YV0Ocoo6emVvaTzBSs18Dr","price":"0.00","avgPrice":"0.00","origQty":"0.010","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1762891882265}
2025-11-12 01:41:21 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891882600, 'recvWindow': 5000}
